Timestamp,Temperature,Humidity,Soil Moisture,Rain Status,Pump Status
32:08.3,30.6,48.4,65.347984,No,ON
32:09.6,30.6,48.4,64.20025,No,ON
32:11.0,30.6,48.4,62.930404,No,ON
32:12.3,30.7,48.4,64.029308,No,ON
32:13.7,30.7,48.3,62.857144,No,ON
32:15.2,30.7,48.3,63.663004,No,ON
32:16.6,30.7,48.3,63.247864,No,ON
32:18.0,30.7,48.3,63.589744,No,ON
32:19.5,30.7,48.3,55.8486,No,ON
32:20.9,30.7,48.3,70.81807,No,OFF
32:22.3,30.7,48.3,76.92308,No,OFF
32:23.8,30.7,48.2,77.48474,No,OFF
32:25.2,30.7,48.2,77.36264,No,OFF
32:26.6,30.7,48.2,76.26374,No,OFF
32:28.1,30.7,48.2,75.21368,No,OFF
32:29.5,30.7,48.2,75.531132,No,OFF
32:30.9,30.7,48.2,73.968252,No,OFF
32:32.4,30.7,48.100004,73.67522,No,OFF
32:33.8,30.7,48.100004,73.5531136,No,OFF
32:35.2,30.7,48.100004,73.333336,No,OFF
32:36.7,30.7,48.100004,72.94261,No,OFF
32:38.1,30.800002,48.100004,71.62393,No,OFF
32:39.5,30.800002,48.100004,72.13676,No,OFF
32:41.0,30.800002,48.100004,0,No,ON
32:42.4,30.800002,48.100004,0,No,ON
32:43.8,30.7,48,0,No,ON
32:45.3,30.800002,48,0,No,ON
32:46.7,30.800002,48,0,No,ON
32:48.1,30.800002,48,0,No,ON
32:49.6,30.7,48,0,No,ON
32:51.0,30.800002,48,0,No,ON
32:52.4,30.800002,48,0,No,ON
32:53.9,30.800002,48,0,No,ON
32:55.3,30.800002,48,8.595849,No,ON
32:56.7,30.800002,48,80.78144,No,OFF
32:58.2,30.800002,47.9,79.16972,No,OFF
32:59.6,30.800002,47.9,76.5812,No,OFF
33:01.0,30.800002,47.9,73.772892,No,OFF
33:02.5,30.800002,47.9,69.25519,No,ON
33:03.9,30.800002,47.9,66.86203,No,ON
33:05.3,30.800002,48,66.78877,No,ON
33:06.8,30.800002,47.9,71.03785,No,OFF
33:08.2,30.800002,47.9,71.111112,No,OFF
33:09.6,30.800002,47.9,70.52503,No,OFF
33:11.1,30.800002,47.9,70.06105,No,OFF
33:12.5,30.800002,47.9,69.84127,No,OFF
33:13.9,30.800002,47.9,69.64591,No,OFF
